@relation sms

@attribute ncharacter real
@attribute ndollars real
@attribute nnumeric real
@attribute nuppercase real
@attribute type {ham, spam}

@data
98,0,1,0,ham
43,0,0,0,ham
46,0,1,0,ham
14,0,0,0,ham
22,0,0,0,ham
29,0,0,0,spam
13,0,0,0,ham
42,0,0,0,ham
33,0,1,0,ham
46,0,0,0,ham
76,0,1,0,ham
19,0,0,0,spam
47,0,1,0,ham
54,0,0,0,ham
32,0,0,0,ham
18,0,0,0,ham
51,0,1,0,ham
66,0,0,1,ham
30,0,0,0,ham
52,0,0,0,ham
38,0,0,0,ham
67,0,1,0,ham
93,0,2,0,ham
92,0,0,0,ham
35,0,3,0,ham
34,0,0,0,ham
38,0,1,0,ham
43,0,1,0,ham
34,0,0,0,ham
31,0,0,0,ham
86,0,1,0,spam
71,0,0,0,spam
32,0,0,0,ham
67,0,1,0,ham
14,0,0,0,spam
58,0,0,0,ham
53,0,0,0,ham
50,0,0,0,ham
43,0,1,0,spam
96,0,1,0,ham
114,0,1,0,spam
121,0,0,0,ham
19,0,0,0,ham
48,0,0,0,ham
136,0,0,2,ham
66,0,2,0,ham
134,0,1,1,ham
79,0,0,1,ham
57,0,1,0,ham
44,0,0,0,ham
26,0,0,0,ham
35,0,0,0,ham
127,0,1,3,spam
64,0,0,1,ham
88,0,2,1,ham
46,0,0,0,ham
26,0,0,0,ham
160,0,0,2,ham
19,0,0,0,ham
86,0,1,1,spam
171,0,2,2,ham
77,0,0,0,ham
95,0,0,1,ham
45,0,1,0,ham
32,0,0,0,ham
30,0,1,0,ham
24,0,0,0,ham
52,0,0,1,ham
28,0,0,0,ham
16,0,0,0,spam
106,0,1,1,ham
171,0,3,0,ham
52,0,3,0,spam
38,0,0,0,spam
45,0,1,0,ham
51,0,1,1,ham
60,0,2,0,ham
56,0,0,0,ham
16,0,0,0,ham
47,0,2,0,ham
78,0,1,1,ham
60,0,2,0,ham
65,0,2,0,spam
16,0,0,0,ham
28,0,0,0,spam
31,0,3,1,ham
72,0,0,0,ham
21,0,0,0,spam
65,0,0,0,ham
32,0,0,0,ham
16,0,0,0,ham
20,0,0,0,ham
36,0,1,0,ham
38,0,0,0,ham
42,0,1,0,ham
38,0,0,0,ham
42,0,1,0,ham
62,0,1,0,ham
148,0,0,0,ham
65,0,0,1,ham
107,0,2,0,ham
64,0,0,0,ham
45,0,0,1,ham
158,0,2,0,ham
69,0,0,1,ham
99,0,4,1,spam
36,0,0,0,ham
97,0,0,1,ham
110,0,0,2,ham
49,0,0,0,spam
54,0,0,0,spam
169,0,1,0,ham
70,0,2,0,ham
53,0,0,0,ham
22,0,0,0,ham
36,0,0,0,ham
42,0,0,0,ham
55,0,0,0,ham
76,0,1,0,spam
30,0,0,0,ham
25,0,0,0,ham
65,0,0,0,ham
33,0,0,0,spam
48,0,0,1,ham
75,0,0,0,spam
115,0,1,1,spam
18,0,0,0,ham
32,0,0,0,ham
74,0,0,0,ham
130,0,0,1,ham
162,0,0,0,ham
151,0,1,2,ham
85,0,1,0,ham
88,0,1,1,ham
50,0,0,0,spam
40,0,0,0,ham
86,0,0,1,spam
132,0,0,1,ham
40,0,0,0,ham
72,0,0,0,ham
58,0,0,1,ham
69,0,1,0,ham
110,0,4,0,ham
16,0,0,0,ham
23,0,0,0,spam
16,0,0,0,spam
115,0,0,1,ham
84,0,0,1,ham
152,0,1,0,ham
109,0,1,0,ham
107,0,1,0,ham
106,0,0,0,ham
20,0,0,0,spam
24,0,0,1,ham
86,0,0,0,spam
47,0,9,0,ham
45,0,0,0,ham
121,0,1,0,ham
28,0,0,0,spam
21,0,0,0,ham
33,0,0,0,spam
58,0,0,1,spam
52,0,0,1,ham
65,0,0,0,ham
28,0,0,0,ham
21,0,0,0,spam
36,0,0,1,ham
140,0,0,0,ham
83,0,0,1,ham
91,0,1,0,ham
77,0,0,0,ham
29,0,0,0,spam
67,0,0,1,ham
93,0,0,0,ham
16,0,0,0,ham
81,0,0,0,ham
58,0,3,0,ham
97,0,0,0,spam
107,0,1,0,ham
60,0,0,1,ham
133,0,1,0,ham
115,0,1,1,ham
69,0,0,0,ham
36,0,1,0,ham
87,0,0,0,ham
59,0,0,0,ham
38,0,0,0,ham
74,0,1,1,spam
69,0,0,0,ham
93,0,1,0,spam
29,0,0,1,spam
29,0,0,0,spam
28,0,2,0,ham
142,0,1,0,ham
81,0,0,0,ham
43,0,1,0,ham
25,0,0,0,ham
59,0,0,0,spam
61,0,0,0,ham
80,0,0,0,spam
56,0,2,0,spam
82,0,0,0,spam
86,0,1,0,spam
49,0,0,0,ham
79,0,0,0,ham
88,0,1,0,ham
33,0,1,0,ham
14,0,0,0,ham
86,0,0,0,ham
62,0,0,0,ham
95,0,0,0,ham
39,0,0,0,ham
51,0,0,0,ham
52,0,2,0,ham
127,0,1,0,ham
35,0,0,0,ham
13,0,0,0,ham
79,0,1,1,ham
102,0,0,2,ham
106,0,1,1,ham
164,0,2,1,ham
23,0,0,0,spam
100,0,1,1,ham
40,0,0,0,ham
71,0,0,0,ham
100,0,1,2,ham
36,0,0,0,ham
71,0,0,0,ham
100,0,1,2,spam
90,0,3,0,ham
40,0,0,0,ham
65,0,0,1,spam
25,0,0,0,ham
46,0,0,0,ham
88,0,1,1,ham
23,0,0,0,ham
15,0,0,0,ham
57,0,0,0,ham
63,0,0,1,ham
44,0,0,0,ham
18,0,0,0,ham
34,0,0,0,ham
24,0,0,0,ham
53,0,0,2,ham
88,0,0,1,ham
34,0,0,0,ham
65,0,0,0,ham
38,0,1,0,ham
29,0,0,0,ham
56,0,0,0,ham
41,0,0,0,ham
64,0,1,0,spam
59,0,0,1,ham
102,0,1,1,ham
36,0,0,0,ham
19,0,0,0,ham
26,0,0,0,spam
166,0,1,0,ham
21,0,0,0,ham
55,0,2,1,ham
32,0,0,0,spam
99,0,0,1,ham
42,0,0,0,ham
25,0,0,0,ham
71,0,0,0,spam
39,0,0,0,ham
47,0,0,0,ham
42,0,0,0,ham
65,0,0,0,spam
56,0,1,0,ham
70,0,1,0,ham
47,0,1,0,ham
80,0,1,1,ham
48,0,0,0,ham
74,0,0,1,ham
55,0,2,0,ham
59,0,0,1,spam
39,0,0,0,ham
49,0,0,0,ham
48,0,0,0,ham
68,0,1,0,ham
84,0,1,0,ham
72,0,1,1,ham
145,0,2,1,spam
59,0,0,1,ham
75,0,3,0,ham
47,0,0,0,ham
65,0,1,1,ham
99,0,1,1,ham
118,0,3,2,ham
33,0,1,0,ham
83,0,2,0,ham
48,0,1,0,ham
134,0,2,1,ham
60,0,0,1,ham
18,0,0,0,ham
115,0,1,0,ham
37,0,0,0,ham
40,0,0,0,ham
33,0,0,0,ham
61,0,1,0,ham
93,0,4,1,ham
26,0,0,0,ham
39,0,0,1,ham
36,0,0,0,spam
13,0,0,0,ham
18,0,0,0,ham
14,0,0,0,ham
44,0,0,0,ham
42,0,2,0,ham
49,0,0,0,ham
58,0,0,1,ham
18,0,0,0,ham
89,0,2,0,ham
46,0,2,0,ham
36,0,2,0,ham
161,0,5,3,ham
168,0,2,0,ham
120,0,15,0,ham
169,0,2,0,ham
26,0,0,0,ham
57,0,1,0,ham
16,0,0,0,ham
37,0,1,0,spam
128,0,1,0,ham
50,0,0,1,ham
68,0,1,1,ham
14,0,0,0,ham
159,0,1,0,spam
62,0,0,0,ham
102,0,2,1,ham
14,0,0,0,ham
96,0,0,1,ham
36,0,0,0,ham
42,0,1,0,ham
49,0,1,0,ham
15,0,0,0,ham
63,0,0,1,ham
94,0,2,1,spam
24,0,0,0,ham
35,0,0,0,ham
88,0,0,1,ham
80,0,2,1,ham
62,0,0,0,spam
72,0,0,0,ham
59,0,0,0,ham
16,0,0,0,ham
36,0,0,0,ham
48,0,0,0,ham
75,0,1,0,ham
29,0,0,0,ham
16,0,0,0,ham
39,0,0,0,ham
53,0,0,0,ham
32,0,0,0,ham
45,0,1,0,ham
71,0,1,0,ham
29,0,0,0,ham
54,0,0,0,ham
32,0,0,0,ham
25,0,0,0,ham
65,0,0,0,ham
145,0,4,0,ham
145,0,2,0,ham
36,0,0,0,ham
47,0,0,0,ham
33,0,0,0,spam
41,0,0,0,ham
88,0,0,0,ham
146,0,2,1,spam
91,0,1,1,ham
21,0,0,0,spam
44,0,0,0,ham
38,0,0,1,ham
97,0,0,1,ham
62,0,0,0,ham
122,0,2,1,ham
23,0,1,0,ham
108,0,1,0,ham
41,0,0,0,ham
43,0,0,0,ham
59,0,0,0,spam
76,0,1,1,ham
33,0,0,0,ham
57,0,2,0,ham
55,0,0,1,spam
39,0,0,0,ham
52,0,0,0,ham
83,0,1,0,ham
63,0,0,0,ham
37,0,0,0,spam
36,0,0,1,ham
51,0,0,0,ham
52,0,0,0,spam
134,0,2,0,spam
43,0,1,0,ham
59,0,1,0,ham
77,0,1,0,ham
20,0,0,0,ham
50,0,0,0,ham
51,0,0,1,ham
95,0,0,1,ham
161,0,2,2,ham
51,0,0,0,ham
43,0,0,1,ham
183,0,28,2,ham
173,0,16,1,ham
162,0,23,4,ham
158,0,27,4,ham
170,0,19,3,ham
170,0,21,0,spam
168,0,18,1,ham
168,0,20,3,spam
170,0,28,3,ham
161,0,17,7,ham
170,0,30,2,ham
170,0,24,3,ham
165,0,31,3,ham
171,0,18,1,spam
167,0,20,6,ham
158,0,35,5,ham
170,0,19,1,ham
169,0,19,0,ham
165,0,24,2,ham
165,0,24,3,ham
169,0,33,0,ham
173,0,21,1,spam
118,0,13,0,ham
172,0,26,2,ham
168,0,28,5,ham
171,0,21,2,ham
173,0,21,1,ham
164,0,15,1,ham
168,0,23,2,ham
164,0,15,1,ham
142,0,0,1,ham
167,0,23,3,ham
159,0,5,1,ham
170,0,24,2,ham
162,0,14,0,spam
173,0,24,3,ham
166,0,19,3,spam
171,0,26,2,ham
127,0,18,1,spam
174,0,19,1,ham
162,0,16,2,ham
168,0,18,3,ham
170,0,21,3,spam
168,0,26,1,ham
171,0,14,3,ham
182,0,41,2,spam
169,0,14,3,ham
158,0,23,2,ham
174,0,16,3,ham
166,0,5,1,ham
160,0,22,1,ham
175,0,6,5,ham
162,0,22,2,ham
175,0,19,9,spam
157,0,19,1,ham
166,0,19,3,ham
174,0,19,0,ham
161,0,3,1,ham
164,0,16,2,spam
165,0,27,4,ham
177,0,22,0,ham
166,0,13,3,ham
176,0,3,0,spam
166,0,0,1,ham
175,0,2,26,ham
113,0,12,0,ham
178,0,23,2,ham
162,0,18,2,ham
178,0,24,4,ham
172,0,19,0,ham
152,0,20,5,spam
169,0,22,0,ham
61,0,19,0,ham
165,0,23,6,ham
167,0,21,0,ham
167,0,16,0,ham
168,0,15,5,ham
157,0,10,2,ham
147,0,14,3,ham
168,0,17,6,spam
170,0,13,1,ham
86,0,9,2,ham
171,0,13,1,ham
169,0,18,4,ham
193,0,11,4,ham
167,0,19,2,ham
148,0,22,2,ham
160,0,19,2,ham
149,0,21,7,spam
134,0,23,2,ham
132,0,17,1,ham
158,0,24,2,ham
57,0,8,0,ham
165,0,13,0,ham
149,1,6,8,ham
175,0,15,0,ham
148,0,8,3,ham
156,0,34,0,ham
149,0,13,7,ham
157,0,24,0,ham
137,0,8,3,ham
171,0,8,4,ham
170,0,24,3,ham
166,0,15,1,ham
160,0,10,3,ham
145,0,18,4,ham
172,0,23,3,ham
153,0,24,1,ham
171,0,18,2,ham
170,0,27,4,ham
132,0,12,1,spam
171,0,17,0,ham
139,0,24,2,spam
154,0,19,2,ham
62,0,12,0,ham
235,0,23,2,ham
140,0,26,1,ham
144,0,5,1,ham
148,0,3,0,ham
164,0,18,2,ham
167,0,8,2,ham
159,0,14,3,spam
155,0,19,2,ham
171,0,19,2,spam
145,0,8,2,ham
155,0,24,1,ham
159,0,25,5,ham
166,0,23,2,ham
173,0,3,2,ham
171,0,2,3,ham
171,0,13,4,ham
175,0,29,21,ham
167,0,25,3,ham
170,0,23,1,spam
154,0,31,4,ham
83,0,8,0,ham
86,0,0,1,ham
87,0,14,0,spam
82,0,0,1,ham
78,0,5,1,ham
96,0,0,1,ham
81,0,13,2,spam
172,0,16,2,ham
168,0,5,1,spam
122,0,19,0,ham
178,0,18,1,spam
175,0,17,2,ham
169,0,11,2,ham
142,0,10,3,ham
144,0,4,4,ham
161,0,16,1,ham
174,0,5,2,ham
209,0,16,0,ham
157,0,24,3,ham
123,0,8,4,ham
170,0,18,3,ham
147,0,12,1,ham
117,0,5,1,ham
135,0,14,2,ham
140,0,12,0,ham
146,0,17,4,ham
170,0,14,3,ham
93,0,11,1,ham
158,0,25,3,ham
93,0,11,1,ham
171,0,16,3,ham
172,0,14,7,ham
170,0,14,3,ham
147,0,5,1,spam
168,0,16,5,ham
113,0,17,0,ham
174,0,11,1,ham
151,0,18,3,ham
151,0,28,5,ham
170,0,27,5,ham
93,0,11,1,ham
